追番,警察署,目撃(発見)年月日,目撃(発見)時間,目撃(発見)場所,状況,頭数,体長,緯度,経度
50,山口,令和7年5月26日,8:40,"山口市徳地野谷
　　山中",山中にいる熊を目撃したもの,1,約60cm,34.31039 ,131.68612 
51,周南,令和7年5月27日,9:40,"周南市大字中須南
　　国道上",車で走行中、国道を横断する熊を目撃したもの,1,約100cm,34.10116 ,131.92493 
52,下松,令和7年5月27日,14:00,"下松市大字瀬戸
　　市道上",作業中、市道を横断する熊を目撃したもの,1,約100cm,34.05667 ,131.88146 
53,山口,令和7年5月27日,19:20,"山口市阿東篠目
　　市道上",市道上にいる熊を目撃したもの,1,約100cm,34.28524 ,131.56622 
54,山口,令和7年5月28日,10:00,"山口市徳地野谷
　　市道上",車で走行中、市道上にいる熊を目撃したもの,1,約40cm,34.30208 ,131.69057 
55,萩,令和7年5月28日,15:40,"萩市大字高佐上
　　市道上",車で走行中、市道上にいる熊を目撃したもの,1,約100cm,34.49394 ,131.61698 
56,萩,令和7年5月29日,8:00,"萩市大字高佐下
　　山中",車で走行中、山中の木に登っている熊を目撃したもの,1,不明,34.46395 ,131.59721 
57,小串,令和7年5月28日,19:00,"下関市豊北町大字神田上
　　市道上",歩行中、市道を横切る熊を目撃したもの,1,約100cm,34.27018 ,130.92659 
58,光,令和7年5月31日,17:50,"周南市大字安田
　　市道上",歩行中、市道上にいる熊を目撃したもの,1,約100cm,34.04506 ,131.96720 
59,萩,令和7年6月1日,10:00,"萩市大字佐々並
　　国道上",車で走行中、国道を横断する熊を目撃したもの,1,約150cm,34.27809 ,131.47224 
60,周南,令和7年6月2日,17:10,"周南市大字四熊
　　県道上",車で走行中、県道にいる熊を目撃したもの,1,約150cm,34.10185 ,131.78317 
61,光,令和7年6月2日,18:00,"周南市大字八代
　　市道付近",車で走行中、市道付近にいる熊を目撃したもの,1,約100cm,34.09093 ,131.92181 
62,光,令和7年6月2日,20:40,"周南市大字呼坂
　　市道上",車で走行中、市道を横断する熊を目撃したもの,1,約100cm,34.04620 ,131.95951 
63,長門,令和7年6月4日,17:20,"長門市油谷河原
　　国道上",車で走行中、国道を横断する熊を目撃したもの,1,約100cm,34.36800 ,131.04198 
64,岩国,令和7年6月4日,8:30,"岩国市錦町宇佐郷
　　市道上",作業中、市道上にいる熊を目撃したもの,2,約100cm,34.35352 ,132.03334 
65,下関,令和7年6月5日,16:30,"下関市吉見里町
　　公園",公園にいたところ、公園にいる熊を目撃したもの,1,約100cm,34.07328 ,130.89870 
66,萩,令和7年6月7日,15:30,"阿武町大字宇生賀
　　山中",山中にいる熊を目撃したもの,1,約50cm,34.52843 ,131.56758 
67,山口南,令和7年6月8日,2:08,"山口市鋳銭司
　　市道上",車両で走行中、市道にいる熊ようの動物を目撃したもの,1,約50cm,34.07820 ,131.44227 
68,萩,令和7年6月8日,17:57,"阿武町大字奈古
　　国道付近",車両で走行中、国道付近にいる熊を目撃したもの,1,約60cm,34.51308 ,131.48338 
69,萩,令和7年6月5日,16:00,"萩市大字椿
　　畑",畑において、熊の足跡を発見したもの,不明,不明,34.37008 ,131.40073 
70,長門,令和7年6月9日,19:47,"長門市三隅上
　　田畑",車両で走行中、田畑にいる熊を目撃したもの,3,約100cm,34.35117 ,131.29310 
71,萩,令和7年6月17日,7:40,"萩市大字下小川
　　市道上",外にいたところ、市道を横断する熊を目撃したもの,1,約100cm,34.58790 ,131.70505 
72,防府,令和7年6月17日,16:10,"防府市大字真尾
　　市道上",車で走行中、市道を横断する熊ようの動物を目撃したもの,1,約100cm,34.09052 ,131.60525 
73,山口,令和7年6月18日,6:30,"山口市徳地山畑
　　国道上",車で走行中、国道を横断する熊を目撃したもの,1,約100cm,34.16836 ,131.69514 
74,萩,令和7年6月18日,7:40,"萩市大字上小川西分
　　県道上",車で走行中、県道を横断する熊を目撃したもの,1,約100cm,34.55952 ,131.65203 
75,山口南,令和7年6月20日,4:30,"山口市小郡上郷
　　県道上",車で走行中、県道を横断する熊を目撃したもの,2,約100cm,34.13090 ,131.39943 
76,周南,令和7年6月23日,12:25,"周南市大字川上
　　市道上",ジョギング中、市道を横断する熊を目撃したもの,1,約100cm,34.11524 ,131.78240 
77,柳井,令和7年6月25日,10:25,"柳井市神代
　　国道上",車で走行中、国道を横断する熊を目撃したもの,1,約100cm,33.99089 ,132.18594 
78,光,令和7年6月25日,18:00,"光市大字束荷
　　山道",山道にて、熊の足跡を発見したもの,不明,不明,34.01947 ,132.01562 
79,萩,令和7年6月27日,6:45,"萩市大字紫福
　　県道上",車で走行中、県道上にいる熊を目撃したもの,1,約80cm,34.45850 ,131.53395 
80,山口,令和7年6月29日,18:10,"山口市阿東徳佐下
　　国道上",車で走行中、国道を横断する熊を目撃したもの,1,約100cm,34.38493 ,131.70691 
81,萩,令和7年7月1日,14:25,"萩市大字吉部下
　　県道上",車で走行中、県道を横断する熊を目撃したもの,1,約80cm,34.44139 ,131.56542 
82,周南,令和7年7月3日,8:00,"周南市大字須々万奥
　　県道上",車で走行中、県道を横断する熊を目撃したもの,1,約60cm,34.13432 ,131.88393 
83,萩,令和7年7月3日,15:00,"萩市大字椿
　　国道脇",バスに乗車中、国道脇にいる熊を目撃したもの,1,約120cm,34.38131 ,131.43388 
84,柳井,令和7年7月4日,16:30,"柳井市伊陸
　　市道上",車で走行中、市道上にいる熊を目撃したもの,3,約100cm,34.04467 ,132.09213 
85,周南,令和7年7月6日,13:25,"周南市大字長穂
　　市道上",二輪車で走行中、市道を横断する熊を目撃したもの,1,約50cm,34.12759 ,131.85182 
86,山口,令和7年7月6日,8:25,"山口市徳地深谷
　　駐車場",駐車場にて熊の糞を発見したもの,不明,不明,34.21540 ,131.70263 
87,山口,令和7年7月7日,10:30,"山口市阿東生雲東分
　　三谷川",作業中に川にいる熊を目撃したもの,1,約150cm,34.34764 ,131.62418 
88,下松,令和7年7月8日,7:35,"下松市大字下谷
　　県道上",徒歩で進行中、県道を横断する熊を目撃したもの,1,約50cm,34.08668 ,131.88869 
89,光,令和7年7月8日,8:40,"周南市大字八代
　　国道上",車で走行中、国道を横断する熊を目撃したもの,1,約100cm,34.10842 ,131.94596 
90,岩国,令和7年7月8日,11:09,"岩国市美和町生見
　　県道沿い",車で走行中、県道沿いにいる熊を目撃したもの,1,約50cm,34.26934 ,132.09227 
91,岩国,令和7年7月9日,6:30,"岩国市美和町北中山
　　県道上",車で走行中、県道上にいる熊を目撃したもの,2,約100cm,34.27609 ,132.09113 
92,山口,令和7年7月9日,17:30,"山口市徳地野谷
　　路肩",車で走行中、路肩にいる熊を目撃したもの,1,約100cm,34.32276 ,131.68342 
93,萩,令和7年7月10日,11:00,"萩市大字須佐　
　　県道上",車内にいたところ、県道を横断する熊を目撃したもの,1,約100cm,34.63589 ,131.60164 
94,下松,令和7年7月10日,6:30,"下松市大字下谷
　　市道上",車で走行中、市道を横断する熊を目撃したもの,1,約100cm,34.09697 ,131.86274 
95,柳井,令和7年7月11日,9:00,"柳井市余田
　　市道上",車で走行中、市道にいる熊ようの動物を目撃したもの,1,約100cm,33.97414 ,132.07216 
96,周南,令和7年7月12日,3:00,"周南市大字久米
　　市道上",車で走行中、市道を横断する熊を目撃したもの,1,約100cm,34.04319 ,131.85961 
97,柳井,令和7年7月12日,9:00,"柳井市伊陸
　　県道上",車で走行中、県道にいる熊を目撃したもの,1,約50cm,34.03415 ,132.10052 
98,周南,令和7年7月12日,8:50,"周南市大字鹿野上
　　県道上",車で走行中、県道を横断する熊を目撃したもの,1,約80cm,34.25003 ,131.83803 
99,美祢,令和7年7月12日,15:40,"美祢市美東町絵堂
　　市道",二輪車で走行中、市道を横断する熊を目撃したもの,1,約120cm,34.26502 ,131.35455 
100,小串,令和7年7月13日,15:00,"下関市豊北町大字田耕
　　田んぼ",作業中、田に熊がいるのを目撃したもの,1,約150cm,34.28278 ,130.97299 
101,萩,令和7年7月13日,17:50,"萩市大字須佐
　　山林",車で走行中、山林に熊がいるのを目撃したもの,1,約100cm,34.61403 ,131.60497 
102,萩,令和7年7月14日,16:40,"萩市川上
　　民家先",徒歩で散策中、熊を目撃したもの,1,約140cm,34.37325 ,131.44687 
103,萩,令和7年7月14日,18:03,"萩市大字福井上
　　県道上",車で走行中、県道にいる熊を目撃したもの,1,約110cm,34.42342 ,131.52683 
104,長門,令和7年7月14日,19:00,"長門市俵山
　　田んぼ",車で走行中、田に熊がいるのを目撃したもの,1,約100cm,34.30235 ,131.13141 
105,岩国,令和7年7月15日,11:40,"岩国市周東町祖生
　　国道上",車で走行中、国道場にいる熊を目撃したもの,1,約120cm,34.04743 ,132.14467 
106,萩,令和7年7月17日,8:30,"萩市大字吉部下
　　畦道",畦道にいた熊を目撃したもの,1,約100cm,34.43054 ,131.57228 
107,美祢,令和7年7月17日,17:15,"美祢市大嶺町奥分
　　国道上",車で走行中、国道を横断する熊を目撃したもの,1,約130cm,34.16896 ,131.15933 
108,萩,令和7年7月18日,13:20,"阿武郡阿武町大字奈古
　　国道上",車で走行中、国道にいる熊を目撃したもの,1,約100cm,34.51393 ,131.48390 
109,山口,令和7年7月17日,13:15,"山口市徳地柚木
　　県道上",車で走行中、国道を横断する熊を目撃したもの,1,約150cm,34.33633 ,131.70962 
110,山口,令和7年7月22日,7:20,山口市徳地八坂,徒歩で進行中、山林に立ち去る熊を目撃したもの,1,約40cm,34.23473 ,131.66292 
111,山口,令和7年7月21日,22:00,"山口市阿東徳佐下
　　国道上",車で走行中、国道上にいる熊を目撃したもの,1,約200cm,34.37448 ,131.69208 
112,岩国,令和7年7月25日,6:00,"岩国市通津
　　山中",作業中、道路上にいる熊を目撃したもの,1,約150cm,34.07322 ,132.17362 
113,萩,令和7年7月25日,17:40,"萩市川上
　　雑木林",車で走行中、雑木林にいる熊を目撃したもの,1,約100cm,34.37263 ,131.44255 
114,萩,令和7年7月27日,11:30,"阿武郡阿武町大字奈古
　　県道付近",車で走行中、県道付近にいた熊を目撃したもの,1,約100cm,34.52560 ,131.53301 
115,萩,令和7年7月28日,9:40,"阿武郡阿武町大字福田上
　　町道上",車で走行中、町道を横断する熊を目撃したもの,1,約100cm,34.51296 ,131.62218 
116,周南,令和7年7月4日,15:35,"周南市大字馬神
　　国道上",車で走行中、国道を横断する熊を目撃したもの,1,約100cm,34.11472 ,131.73173 
117,萩,令和7年7月29日,8:05,"萩市大字高佐下
　　市道上",車で走行中、市道上にいる熊を目撃したもの,1,約150cm,34.46315 ,131.58143 
118,岩国,令和7年7月31日,10:37,"岩国市美和町生見
　　田んぼ",発見者が田んぼにて、熊の糞を発見したもの,不明,不明,34.22229 ,132.07413 
119,周南,令和7年8月2日,9:00,"周南市大字大道理
　　国道上",車で走行中、国道を横断する熊を目撃したもの,1,約100cm,34.13476 ,131.82462 
120,萩,令和7年8月3日,5:10,"萩市大字椿東
　　休耕田",散歩中、休耕田に熊ようの動物がいるのを目撃したもの,1,約150cm,34.42368 ,131.41821 
121,岩国,令和7年8月3日,22:54,"岩国市美和町中垣内
　　",動物監視用のスマートフォンに熊が写っているのを確認したもの,1,約120cm,34.23979 ,132.12434 
122,岩国,令和7年8月3日,23:46,"岩国市阿品
　　県道上",車で走行中、県道上にいる熊を目撃したもの,1,約100cm,34.18942 ,132.14597 
123,山口,令和7年8月3日,16:00,"山口市徳地船路
　　畑",発見者が畑にて、柿の木が折られ、咬み痕があるのを発見したもの,不明,不明,34.24045 ,131.65294 
124,山口,令和7年8月5日,19:00,"山口市徳地串
　　県道上",車で走行中、県道を横断する熊を目撃したもの,3,約100cm,34.19473 ,131.72679 
125,山口,令和7年8月6日,16:10,"山口市阿東地福下
　　",発見者が作業中、茂みに走り去る熊を目撃したもの,1,約30cm,34.33110 ,131.61560 
126,山口,令和7年8月7日,6:40,"山口市徳地山畑
　　国道上",車で走行中、国道を横断する熊を目撃したもの,1,約100cm,34.17643 ,131.68667 
127,萩,令和7年8月8日,12:36,"萩市大字下田万
　　線路上",列車で進行中、線路上にいた熊を目撃したもの,1,約100cm,34.66189 ,131.68365 
128,岩国,令和7年8月8日,1:27,"岩国市美和町黒沢
　　",センサーカメラに熊が写っているのを確認したもの,1,約120cm,34.23915 ,132.13197 
129,萩,令和7年8月11日,18:00,"萩市大字椿東
　　休耕田",車で走行中、休耕田にいる熊を目撃したもの,1,約150cm,34.42364 ,131.41798 
130,萩,令和7年8月13日,5:30,萩市大字福井下,倉庫の屋根にいた熊を目撃したもの,1,約80cm,34.40669 ,131.48732 
131,防府,令和7年8月13日,11:35,"防府市大字奥畑
　　市道上",車で走行中、笹やぶの中にいる熊の頭部を目撃したもの,1,不明,34.15343 ,131.64147 
132,下関,令和7年8月14日,20:15,下関市楠乃4丁目,散歩中、熊を目撃したもの,1,約100cm,34.00084 ,130.96695 
133,萩,令和7年8月15日,9:25,"萩市大字佐々並
　　県道上",車で走行中、県道を横断する熊を目撃したもの,1,約100cm,34.26287 ,131.48116 
134,周南,令和7年8月16日,0:10,"周南市大字中須南
　　",養蜂の巣箱を倒している熊が防犯カメラに映っていたもの,1,約100cm,34.10152 ,131.90619 
135,山口,令和7年8月16日,18:57,"山口市徳地島地
　　国道上",車で走行中、山から下りてきた熊を目撃したもの,1,約100cm,34.16024 ,131.70374 
136,萩,令和7年8月17日,15:48,"萩市大字佐々並
　　国道上",車で走行中、国道を横断する熊を目撃したもの,1,約100cm,34.30923 ,131.45285 
137,長府,令和7年8月18日,10:00,"下関市大字松小田
　　登山道",登山道を下山中、熊ようの動物を目撃したもの,1,約100cm,34.02724 ,130.98374 
138,山口,令和7年8月18日,13:45,"山口市阿東生雲中
　　",作業中に熊を目撃したもの,1,約50cm,34.34449 ,131.58701 
139,光,令和7年8月21日,8:05,"周南市大字原
　　県道上",車で走行中、県道を横断する熊と衝突したもの,1,約100cm,34.06786 ,131.96053 
140,周南,令和7年8月21日,14:20,"周南市大字鹿野上
　　中国縦貫自動車道上り",車で走行中、熊２頭と車両が衝突したもの,3,約100cm,34.24778 ,131.84940 
141,下関,令和7年8月21日,23:10,下関市大字勝谷,山付近にいる熊を目撃したもの,1,不明,34.00825 ,130.96946 
142,山口,令和7年8月22日,8:25,"山口市徳地掘
　　国道上",車で走行中、国道を横断する熊を目撃したもの,1,約100cm,34.18126 ,131.67681 
143,山口,令和7年8月23日,17:00,"山口市徳地
　　国道上",車で走行中、国道を横断する熊を目撃したもの,1,約100cm,34.34482 ,131.73866 
144,下関,令和7年8月24日,20:08,"下関市勝谷新町
　　市道上",車で走行中、市道上にいる熊を目撃したもの,1,約100cm,34.00396 ,130.97367 
145,岩国,令和7年8月25日,7:00,岩国市美和町秋掛,池の水を抜いたところ、熊の糞を発見したもの,不明,不明,34.32073 ,132.09048 
146,山口,令和7年8月26日,6:13,"山口市徳地藤木
　　農免道路上",車で走行中、農免道路を横断する熊を目撃したもの,1,約150cm,34.15397 ,131.67246 
147,周南,令和7年8月27日,13:40,"周南市大字長穂
　　山中",車で走行中、国道沿いの山中にいる熊を目撃したもの,1,約80cm,34.12408 ,131.84579 
148,山口,令和7年8月28日,15:30,"山口市徳地柚木
　　国道上",車で走行中、国道上にいる熊を目撃したもの,1,約80cm,34.34253 ,131.74343 
149,山口,令和7年8月28日,8:00,山口市仁保上郷,家の板壁が剥がされているのを発見したもの,不明,不明,34.25674 ,131.60021 
150,山口,令和7年8月28日,9:10,山口市阿東生雲東分,梨の食害を発見したもの,不明,不明,34.32409 ,131.59975 
151,光,令和7年8月29日,17:00,周南市大字八代,車で走行中、県道を横断する熊を目撃したもの,1,約100cm,34.09507 ,131.92831 
152,萩,令和7年9月1日,9:30,"萩市大字上田万
　　県道上",車で走行中、県道を横断する熊を目撃したもの,1,約100cm,34.62053 ,131.67160 
153,下関,令和7年9月1日,20:10,"下関市一の宮東町
　　市道上",徒歩で進行中、市道を横切る熊を目撃したもの,1,約200cm,34.00410 ,130.96403 
154,岩国,令和7年9月4日,6:00,"岩国市本郷町本郷
　　山中",山中にいる熊を目撃したもの,1,約120cm,34.30264 ,132.04912 
155,岩国,令和7年9月4日,18:00,"岩国市玖珂町
　　市道上",車で走行中、市道上にいる熊を目撃したもの,1,約100cm,34.08865 ,132.09256 
156,周南,令和7年9月6日,15:30,"周南市浦山２丁目
　　山裾",徒歩で移動中、山裾で熊を目撃したもの,1,約100cm,34.07004 ,131.79458 
157,周南,令和7年9月10日,7:40,周南市大字戸田,徒歩で進行中、市道沿いの空き地にいる熊を目撃したもの,1,約50cm,34.07397 ,131.69520 
158,岩国,令和7年9月10日,16:50,岩国市美和町生見,散歩中、路上に熊の足跡を発見したもの,不明,不明,34.26106 ,132.10939 
159,岩国,令和7年9月11日,13:00,"岩国市美和町上駄床
　　県道上",車で走行中、県道を横断する熊を目撃したもの,1,約40cm,34.26112 ,132.10941 
160,山口,令和7年9月14日,14:00,"山口市仁保中郷
　　県道上",車で走行中、県道を横断する熊を目撃したもの,1,約100cm,34.16693 ,131.57457 
161,山口,令和7年9月16日,10:40,"山口市徳地三谷
　　県道上",車で走行中、県道を横断する熊を目撃したもの,1,不明,34.23084 ,131.66627 
162,山口,令和7年9月17日,12:18,"山口市阿東篠目
　　国道上",車で走行中、国道を横断する熊を目撃したもの,1,約150cm,34.28323 ,131.55606 
163,岩国,令和7年9月19日,17:05,"岩国市周東町
　　国道上",車で走行中、国道を横断する熊を目撃したもの,1,約100cm,34.04731 ,132.14466 
164,周南,令和7年9月22日,18:30,"周南市大神１丁目
　　市道上",徒歩で進行中、市道上にいる熊を目撃したもの,1,約50cm,34.08100 ,131.76105 
165,下松,令和7年9月26日,12:20,"下松市大字下谷
　　県道上",車で走行中、県道を横断する熊を目撃したもの,1,約100cm,34.09805 ,131.87747 
166,柳井,令和7年9月27日,16:23,"柳井市柳井　
　　県道上",車で走行中、県道を横断する熊を目撃したもの,1,約100cm,33.99914 ,132.10297 
167,下松,令和7年9月28日,10:12,"下松市大字下谷
　　県道上",車で走行中、県道上にいる熊を目撃したもの,1,約100cm,34.09859 ,131.87708 
168,岩国,令和7年9月30日,6:40,岩国市由宇町,国道方向に移動する熊を目撃したもの,1,約100cm,34.02864 ,132.21702 
169,周南,令和7年9月30日,17:40,"周南市大字須々万本郷
　　市道上",徒歩で進行中、熊を目撃したもの,1,不明,34.11503 ,131.85994 
170,萩,令和7年9月30日,14:30,"萩市大字佐々並
　　国道上",車で走行中、国道を横断する熊を目撃したもの,1,約100cm,34.30026 ,131.45901 
171,美祢,令和7年10月2日,17:50,"美祢市美東町真名
　　田んぼ",徒歩で進行中、熊を目撃したもの,2,約100cm,34.15601 ,131.33779 
172,山口,令和7年10月5日,6:00,"山口市阿東地福上
　　県道上",車で走行中、県道を横断する熊を目撃したもの,1,約50cm,34.36438 ,131.66994 
173,周南,令和7年10月7日,9:44,"周南市大字米光
　　国道上",車で走行中、国道を横断する熊を目撃したもの,1,約100cm,34.13662 ,131.73468 
174,山口,令和7年10月8日,17:20,"山口市吉敷
　　国道上",車で走行中、国道を横断する熊を目撃したもの,1,約70cm,34.18933 ,131.42183 
175,萩,令和7年10月10日,18:00,"萩市大字須佐
　　市道上",車で走行中、市道上で熊を目撃したもの,1,約100cm,34.64430 ,131.60281 
176,光,令和7年10月9日,9:40,"周南市大字八代
　　県道上",車で走行中、県道を横断する熊を目撃したもの,1,約100cm,34.09643 ,131.92699 
177,柳井,令和7年10月10日,20:20,"柳井市大畠
　　市道上",車で走行中、市道上で熊を目撃したもの,1,約100cm,33.96087 ,132.15941 
178,下松,令和7年10月10日,18:00,"下松市大字河内
　　",自転車で走行中、山中にいる熊を目撃したもの,1,約50cm,34.02865 ,131.88507 
179,萩,令和7年10月10日,17:35,"萩市大字椿東
　　県道上",バスに乗車中、県道を横断する熊を目撃したもの,1,約100cm,34.38322 ,131.43320 
180,周南,令和7年10月11日,4:00,"周南市大字大島
　　",駐車場にて熊を目撃したもの,1,約100cm,34.00862 ,131.82640 
