追番,警察署,目撃(発見)年月日,目撃(発見)時間,目撃(発見)場所,状況,頭数,体長,緯度,経度
1,山口南,令和7年1月13日,7:00,"山口市秋穂二島
　　田んぼの中",車で走行中、田んぼの中にいる熊ようの動物を目撃したもの,1,約100cm,34.04552 ,131.43210 
2,長門,令和7年1月19日,17:30,"長門市油谷河原
　　田畑",犬の散歩中、付近の木に登る熊を目撃したもの,1,約60cm,34.36687 ,131.04046 
3,光,令和7年1月29日,21:40,"光市大字三井
　　田んぼの中",車で走行中、田んぼの中にいる熊を目撃したもの,1,約100cm,33.99036 ,131.94572 
4,長門,令和7年2月11日,17:40,"長門市日置上
　　道路脇",徒歩で進行中、道路脇にいる熊を目撃したもの,1,約80cm,34.38443 ,131.13334 
5,防府,令和7年2月11日,15:05,"防府市大字真尾
　　柿の木",柿の木に熊の爪痕を発見したもの,不明,不明,34.09518 ,131.58572 
6,長門,令和7年2月26日,9:45,"長門市日置上
　　市道脇",車で走行中、市道脇にいる熊を目撃したもの,1,約80cm,34.39794 ,131.13061 
7,萩,令和7年2月27日,7:05,"萩市大字椿東
　　空き家敷地内",徒歩で進行中、空き家敷地内にいる熊を目撃したもの,1,約50cm,34.39870 ,131.41236 
8,萩,令和7年2月27日,17:20,"萩市大字椿東
　　線路上",線路上にいる熊を目撃したもの,1,約150cm,34.40039 ,131.41373 
9,宇部,令和7年3月10日,18:05,"宇部市大字善和
　　山中",車で走行中、市道を横断する熊ようの動物を目撃したもの,1,約50cm,34.03295 ,131.30680 
10,長門,令和7年3月27日,15:30,"長門市仙崎
　　公園付近",公園にいたところ、公園直近の茂みにいる熊を目撃したもの,1,約100cm,34.37867 ,131.19925 
11,岩国,令和7年3月28日,16:10,"岩国市周東町上久原
　　竹林",空き地にいたところ、竹林にいる熊ようの動物を目撃したもの,2,約100cm,34.07439 ,132.06392 
12,岩国,令和7年4月3日,6:37,"岩国市多田
　　河川敷",車で走行中、河川敷にいる熊ようの動物を目撃したもの,1,約120cm,34.17307 ,132.16563 
13,岩国,令和7年4月4日,7:40,"岩国市美和町上駄床
　　山中",車で走行中、山中にいる熊を目撃したもの。,1,約100cm,34.25476 ,132.10572 
14,長府,令和7年4月7日,7:40,"下関市長府浜浦西町
　　県道付近",車で走行中、付近にいる熊ようの動物を目撃したもの,1,約80cm,33.98805 ,130.97821 
15,岩国,令和7年4月8日,15:50,"岩国市美和町生見
　　市道付近",徒歩で進行中、法面にいる熊を目撃したもの,1,約50cm,34.25406 ,132.09775 
16,長門,令和7年4月9日,13:10,"長門市油谷河原　
　　国道付近",車で走行中、国道を横断する熊を目撃したもの,1,約60cm,34.32161 ,131.06650 
17,岩国,令和7年4月9日,16:35,"岩国市美和町生見
　　市道付近",徒歩で進行中、法面にいる熊を目撃したもの,1,約50cm,34.25397 ,132.09771 
18,長門,令和7年4月9日,19:07,"長門市油谷久富
　　国道付近",電車運転中、畦道にいる熊を目撃したもの,1,約120cm,34.38290 ,131.07547 
19,下関,令和7年4月10日,6:40,"下関市吉見下
　　県道付近",車で走行中、県道を横断する熊を目撃したもの,1,約100cm,34.07127 ,130.91517 
20,萩,令和7年4月10日,16:00,"萩市大字佐々並
　　国道付近",車で走行中、国道を横断する熊を目撃したもの,1,約100cm,34.30515 ,131.45848 
21,小串,令和7年4月14日,6:30,"下関市豊北町大字粟野
　　国道付近",車で走行中、国道にいる熊ようの動物を目撃したもの,1,約170cm,34.34927 ,130.95158 
22,長門,令和7年4月14日,6:15,"長門市日置上
　　国道付近",車で走行中、国道沿い法面にいる熊を目撃したもの,1,約80cm,34.37444 ,131.12139 
23,小串,令和7年4月18日,19:00,"下関市豊浦町大字黒井
　　田んぼの中
　　",徒歩で進行中、田んぼの中にいる熊ようの動物を目撃したもの,1,約100cm,34.12897 ,130.91913 
24,美祢,令和7年4月22日,20:00,"美祢市秋芳町青景
　　県道付近",車で走行中、県道にいる熊を目撃したもの,1,約70cm,34.27661 ,131.30199 
25,下松,令和7年4月23日,14:00,"下松市大字下谷
　　田んぼの中",車で走行中、田んぼの中にいる熊を目撃したもの,1,約150cm,34.08516 ,131.87824 
26,周南,令和7年4月27日,12:00,"周南市大字夜市
　　法面付近",自転車で走行中、法面にいる熊を目撃したもの,1,約100cm,34.08606 ,131.71571 
27,美祢,令和7年5月1日,12:10,"美祢市秋芳町青景
　　県道付近",車で走行中、県道にいる熊を目撃したもの,1,約120cm,34.28295 ,131.30922 
28,光,令和7年5月1日,19:10,"周南市大字八代
　　国道上",車で走行中、国道にいる熊を目撃したもの,1,約100cm,34.10788 ,131.94214 
29,下松,令和7年5月3日,14:57,"下松市大字瀬戸
　　登山道",登山中に登山道の熊を目撃したもの,1,約100cm,34.06833 ,131.88752 
30,光,令和7年5月7日,10:10,"周南市大字八代
　　藪付近",藪付近にいる熊を目撃したもの,1,約100cm,34.09302 ,131.92912 
31,岩国,令和7年5月7日,18:30,"岩国市美和町生見
　　休耕田",車で走行中、休耕田にいる熊を目撃したもの,1,約100cm,34.23300 ,132.08072 
32,岩国,令和7年5月8日,12:00,"岩国市美和町北中山
　　山道",山道沿いで筍の食害を発見したもの,不明,不明,34.26647 ,132.07915 
33,周南,令和7年5月9日,10:30,"周南市大字大道理
　　国道上",車で走行中、国道を横断する熊を目撃したもの,1,約100cm,34.15254 ,131.82014 
34,柳井,令和7年5月10日,9:50,"柳井市柳井
　　県道上",車で走行中、県道を横断する熊ようの動物を目撃したもの,1,約50cm,33.99472 ,132.10240 
35,長府,令和7年5月12日,6:50,"下関市長府松小田西町
　　雑木林",徒歩で進行中、雑木林に熊ようの動物を目撃したもの,1,約100cm,34.01906 ,130.98856 
36,下松,令和7年5月13日,19:07,"下松市大字切山
　　県道付近",車で走行中、県道沿いの法面にいる熊を目撃したもの,1,約100cm,34.03991 ,131.92363 
37,山口南,令和7年5月13日,17:25,"山口市鋳銭司
　　県道上",車で走行中、県道を横断する熊を目撃したもの,1,約100cm,34.09613 ,131.45888 
38,下松,令和7年5月15日,7:55,"下松市大字瀬戸
　　県道上",車で走行中、県道を横断する熊を目撃したもの,1,約120cm,34.07856 ,131.87766 
39,山口,令和7年5月15日,10:10,"山口市徳地柚木
　　県道上",県道を横断する熊を目撃したもの,2,約100cm,34.33664 ,131.71043 
40,山口南,令和7年5月18日,19:00,"山口市陶
　　市道上",車で走行中、市道上にいる熊ようの動物を目撃したもの,1,約100cm,34.07903 ,131.43548 
41,山口南,令和7年5月18日,4:07,"山口市秋穂二島
　　山中",定点カメラに熊ようの動物が撮影されていたもの,1,約100cm,34.05178 ,131.42467 
42,光,令和7年5月18日,16:37,"周南市大字八代
　　県道付近",車で走行中、県道脇に熊がいるのを目撃したもの,1,約100cm,34.07378 ,131.94673 
43,光,令和7年5月21日,8:55,"周南市大字呼坂
　　市道上",散歩中、市道上に熊がいるのを目撃したもの,1,約100cm,34.04482 ,131.94565 
44,岩国,令和7年5月22日,5:10,"岩国市玖珂町
　　畑",畑に生えている、さくらんぼの木にいる熊を目撃したもの,1,約100cm,34.11568 ,132.08036 
45,岩国,令和7年5月22日,9:30,"岩国市美和町大根川
　　公園",公園にいたところ、公園内にいる熊を目撃したもの,1,約100cm,34.22240 ,132.12445 
46,岩国,令和7年5月22日,20:15,"岩国市美川町小川
　　県道上",車で走行中、県道を横断する熊を目撃したもの,1,約100cm,34.24079 ,131.99001 
47,周南,令和7年5月23日,12:17,"周南市大字大道理
　　県道付近",車で走行中、県道付近にいる熊を目撃したもの,1,約100cm,34.12643 ,131.80788 
48,岩国,令和7年5月25日,8:05,"岩国市由宇町神東
　　県道上",車で走行中、県道を横断する熊を目撃したもの,1,約100cm,34.01899 ,132.20728 
49,萩,令和7年5月25日,16:30,"萩市大字明木
　　国道付近",車で走行中、国道付近にいた熊を目撃したもの,1,約50cm,34.34910 ,131.37804 
